kepid,probability,tier
7906882,0.95057297,High
7630229,0.95049316,High
10155029,0.9502828,High
4385148,0.9496469,High
11566064,0.9495194,High
4472818,0.94936746,High
5039228,0.9487668,High
8345384,0.9484455,High
3348216,0.94730955,High
3865815,0.94706464,High
3245969,0.94698864,High
5688683,0.94652796,High
8264402,0.94623446,High
2853780,0.94596386,High
3219643,0.94584984,High
9602613,0.94531864,High
8951215,0.9453,High
10749059,0.9451239,High
8827575,0.94499063,High
11358389,0.943834,High
4172746,0.9434164,High
11360805,0.9433967,High
6768394,0.94319284,High
9896018,0.94250876,High
9288237,0.9422908,High
3329204,0.94159776,High
9100484,0.94117016,High
8013419,0.9401202,High
9166700,0.9393068,High
7976520,0.9387495,High
4274548,0.9384886,High
11622985,0.93822825,High
12785320,0.9374771,High
12301181,0.9361958,High
6119141,0.9360294,High
9574179,0.9358227,High
8827930,0.93534386,High
9026749,0.93527734,High
8396405,0.93426806,High
8548454,0.93388635,High
5003670,0.93387765,High
4464394,0.931977,High
10467714,0.93170536,High
6198182,0.93148166,High
11656928,0.93124527,High
5513648,0.9311367,High
5193659,0.9307345,High
12456063,0.9304947,High
5553959,0.9289645,High
6607286,0.9283087,High
10916600,0.9280039,High
6879183,0.9268931,High
4735826,0.92658514,High
5211199,0.9263323,High
11518201,0.9254676,High
3734418,0.9250595,High
11075279,0.9249234,High
3002478,0.92203456,High
7765528,0.92194957,High
11773174,0.92194057,High
11391755,0.9217839,High
4074736,0.92155063,High
9411166,0.91919714,High
9221517,0.9191597,High
4548011,0.9186794,High
6290935,0.9180039,High
8509442,0.91681844,High
4820550,0.9164126,High
8836888,0.9159202,High
9274092,0.9159123,High
9955262,0.9143231,High
9391817,0.9140972,High
7609553,0.91401166,High
10265898,0.9135985,High
8624520,0.91344756,High
8873090,0.91338277,High
6937529,0.91308093,High
8644365,0.9098452,High
11414368,0.9096606,High
8160953,0.90899307,High
11974540,0.9077365,High
7813039,0.90765584,High
3539231,0.9075492,High
6593150,0.9072615,High
7901016,0.90688723,High
6026737,0.90684706,High
11506654,0.9065791,High
12406807,0.90574735,High
2837111,0.9033782,High
9020114,0.9031807,High
9512981,0.9020412,High
11181260,0.9007576,High
